model_key,model_hf_id,repo_name,file_path,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,edit_sim,prefix_match,prediction,gold_next_line,elapsed_s,status,error_type,error_message,attention_estimated_gb
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,falesiani/torch_ga,torch_ga/torch_ga.py,falesiani/torch_ga/torch_ga/torch_ga.py#0,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",6242,1424,5804,986,52,0.7719,False,0.3,False,"self._cayley_tensor, self._inner_tensor, self._outer_tensor = self._get_cayley_tensor()","        _list = get_cayley_tensor(self.metric, self._bases, self._blades)",4.92,ok,,,2.032
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,nttcom/WASB-SBDT,src/losses/heatmap.py,nttcom/WASB-SBDT/src/losses/heatmap.py#1,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",3105,663,2942,500,51,0.7865,False,0.254,False,# Path: src/losses/heatmap.py,            self._loss = BCELoss(),3.0,ok,,,0.503
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,giulio98/functional-diffusion-processes,src/functional_diffusion_processes/losses/mse_loss.py,giulio98/functional-diffusion-processes/src/functional_diffusion_processes/losses/mse_loss.py#2,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",8126,1658,7792,1324,38,0.796,False,0.1333,False,class FrequencyMSE(MSELoss):,"    def construct_loss_fn(self, model: Union[BaseMAML, BaseViT]) -> Callable:",4.38,ok,,,3.444
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,Elfenreigen/UniChest,train.py,Elfenreigen/UniChest/train.py#3,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",16002,16002,14613,14613,0,0.0,False,0.0,False,,"    optimizer = create_optimizer(arg_opt, model_without_ddp,image_encoder_without_ddp,text_encoder_without_ddp)",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=13.35GiB budget=8.00GiB seq_len=16002,0.0
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,kinggongzilla/ai-clone-whatsapp,utils/config_utils.py,kinggongzilla/ai-clone-whatsapp/utils/config_utils.py#4,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",1761,852,1095,186,34,0.5162,False,0.6839,False,"#                 kwargs[""batch_sampler""] = LengthBasedBatchSampler(","                kwargs[""batch_sampler""] = LengthBasedBatchSampler(dataset, batch_size, drop_last=True, shuffle=mode==""train"")",2.74,ok,,,0.162
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,Eclectic-Sheep/sheeprlhf,sheeprlhf/task/train/ppo.py,Eclectic-Sheep/sheeprlhf/sheeprlhf/task/train/ppo.py#5,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",9628,2743,8294,1409,43,0.7151,False,0.6667,False,v_loss = value_loss(,                    v_loss = value_loss(,5.1,ok,,,4.835
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,UMass-Foundation-Model/CoVLM,transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py,UMass-Foundation-Model/CoVLM/transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py#6,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",34138,34138,32855,32855,0,0.0,False,0.0,False,,"        output_type=SequenceClassifierOutputWithPast,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=60.78GiB budget=8.00GiB seq_len=34138,0.0
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,nexB/dejacode,workflow/models.py,nexB/dejacode/workflow/models.py#7,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",6283,1895,5286,898,42,0.6984,False,0.1963,False,"class Request(DataspacedModel, RequestMixin, HistoryFieldsMixin):",            get_unsecured_manager(model_class).filter(pk=self.pk).update(request_count=true_count),4.06,ok,,,2.059
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,KoeAI/LLVC,minimal_rvc/model.py,KoeAI/LLVC/minimal_rvc/model.py#8,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",7166,1866,6385,1085,53,0.7396,False,0.1795,False,# Path:minimal_rvc/model.py,            self.net_g = SynthesizerTrnMs256NSFSid(,4.07,ok,,,2.678
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,oracle/guardian-ai,tests/unitary/test_fairness_metrics.py,oracle/guardian-ai/tests/unitary/test_fairness_metrics.py#9,6x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",16596,16596,16014,16014,0,0.0,False,0.0,False,,"    ""false_positive_rate_scorer"": false_positive_rate,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=14.36GiB budget=8.00GiB seq_len=16596,0.0
