benchmark,run_id,partial,models,conditions,total,success,errors,fallbacks,status_counts,error_type_counts,path
longbench,ehpc_deepseek-14b_longbench_20260318_2334,False,deepseek-14b,"10x,2048tok,4x,matched",432,432,0,0,"{""ok"": 432}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_deepseek-14b_longbench_20260318_2334.manifest.json
longbench,ehpc_deepseek-14b_longbench_20260318_2334_partial,True,deepseek-14b,"10x,2048tok,4x,matched",432,432,0,0,"{""ok"": 432}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_deepseek-14b_longbench_20260318_2334_partial.manifest.json
longbench,ehpc_mistral-24b_longbench_20260318_2334,False,mistral-24b,"10x,2048tok,4x,matched",432,432,0,0,"{""ok"": 432}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_mistral-24b_longbench_20260318_2334.manifest.json
longbench,ehpc_mistral-24b_longbench_20260318_2334_partial,True,mistral-24b,"10x,2048tok,4x,matched",432,432,0,0,"{""ok"": 432}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_mistral-24b_longbench_20260318_2334_partial.manifest.json
longbench,ehpc_qwen25-7b_longbench_20260318_2334,False,qwen25-7b,"10x,2048tok,4x,matched",432,432,0,0,"{""ok"": 432}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_qwen25-7b_longbench_20260318_2334.manifest.json
longbench,ehpc_qwen25-7b_longbench_20260318_2334_partial,True,qwen25-7b,"10x,2048tok,4x,matched",432,432,0,0,"{""ok"": 432}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_qwen25-7b_longbench_20260318_2334_partial.manifest.json
longbench,ehpc_smoke_longbench,False,qwen25-7b,4x,2,2,0,0,"{""ok"": 2}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_smoke_longbench.manifest.json
longbench,ehpc_smoke_longbench_partial,True,qwen25-7b,4x,2,2,0,0,"{""ok"": 2}",{},modal_results_full_20260319/all_results/ehpc_longbench_results/ehpc_smoke_longbench_partial.manifest.json
repobench,ehpc_deepseek-14b_repobench_20260318_2334,False,deepseek-14b,"6x,matched",400,236,164,0,"{""error"": 164, ""ok"": 236}","{""RuntimeError"": 164}",modal_results_full_20260319/all_results/ehpc_repobench_results/ehpc_deepseek-14b_repobench_20260318_2334.manifest.json
repobench,ehpc_deepseek-14b_repobench_20260318_2334_partial,True,deepseek-14b,"6x,matched",400,236,164,0,"{""error"": 164, ""ok"": 236}","{""RuntimeError"": 164}",modal_results_full_20260319/all_results/ehpc_repobench_results/ehpc_deepseek-14b_repobench_20260318_2334_partial.manifest.json
