model_key,model_hf_id,task,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,attention_estimated_gb
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",5202,1321,5174,1293,30,0.7461,True,0.1935,"Marozia, also known as Maria, Mariuccia, or Mario, was the mother of Alberic II of Spoleto. She was given the unprecedented titles of ""senatrix"" (""senatoress"") and ""patricia of Rome"" by Pope John X.",Pope John X,7.97,ok,,,1.411
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",2240,575,2219,554,23,0.7433,True,1.0,Pleiospilos,Pleiospilos,2.26,ok,,,0.262
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",6222,1572,6199,1549,24,0.7473,True,1.0,Louisville,Louisville,3.84,ok,,,2.019
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",5415,1369,5394,1348,23,0.7472,False,0.0,"No, the Tundra Mine and Negus Mine were not located in the same country. The Tundra Mine was located in the Northwest Territories, Canada, while the Negus Mine was located in Yellowknife, Northwest Territories, Canada. Both",,3.82,ok,,,1.529
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",6544,1654,6520,1630,26,0.7472,True,0.0714,"No, Kaiping and Pingxiang, Guangxi are not located in Guandong Province. Kaiping is a county-level city in Guangdong Province, while Pingxiang is a county-level city under the administration of the prefecture-level city of Chongzuo, in the southwest of the Guangxi Zhuang Autonomous Region.",no,4.72,ok,,,2.233
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",3497,890,3475,868,23,0.7455,True,0.1667,"The ingredients for the She-crab soup would likely come from the Atlantic Ocean, as it is a regional specialty from the South Carolina Lowcountry, which is borders the Atlantic Ocean.",Atlantic Ocean,3.72,ok,,,0.638
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",3326,848,3304,826,24,0.745,True,0.4706,Band-e-Amir Dragons is named after the lakes in the Band-e Amir National Park in Afghanistan.,Band-e Amir National Park,3.64,ok,,,0.577
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",5330,1349,5307,1326,25,0.7469,True,0.25,"Oak Beach, New York and Great South Bay are situated between Long Island and Fire Island.",Long Island,4.24,ok,,,1.482
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",3560,916,3525,881,36,0.7427,True,0.0,Hardley Flood is an area of tidal lagoons and reedbeds that support populations of the waterfowl that are a medium sized version of ducks.,,3.19,ok,,,0.661
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",5143,1311,5109,1277,35,0.7451,False,0.5714,Umina Beach,"Umina Beach, New South Wales",4.3,ok,,,1.379
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,4567b6935bf5c64a1974b1089d67d176d9acac6b29836cb7,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",4519,1174,4460,1115,60,0.7402,True,0.1379,"The 2011 La Manga Cup was won by Viking, who beat IK Start, a Norwegian football club from Kristiansand that plays in Tippeligaen and was promoted from Adeccoligaen in 2012.",IK Start,3.47,ok,,,1.065
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,d3b197d5b4da1198fc9c232524faced0f528b89f919b8061,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",5695,1436,5678,1419,19,0.7478,True,0.1053,"Allure is an American women's magazine focused on beauty, while Claudia is a monthly woman's magazine published in Warsaw, Poland.",Allure,4.18,ok,,,1.692
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,4670f2a542ac06d27e47a74a042cf57f743fba34722a7dc5,4x,22,"[24, 1, 25, 22, 17, 26, 7, 12]",4608,1187,4561,1140,49,0.7424,True,1.0,William,William,3.67,ok,,,1.107
