model_key,model_hf_id,task,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,attention_estimated_gb
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",4998,1270,4970,1242,30,0.7459,True,1.0,Pope John X.,Pope John X,5.77,ok,,,1.489
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",2198,565,2177,544,23,0.7429,True,1.0,Pleiospilos,Pleiospilos,4.09,ok,,,0.288
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",5859,1482,5836,1459,24,0.7471,True,0.6667,"Louisville, Kentucky",Louisville,4.89,ok,,,2.046
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",5077,1285,5056,1264,23,0.7469,True,0.25,"Yes, both mines were located in Canada.",yes,4.66,ok,,,1.536
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",6285,1589,6261,1565,26,0.7472,True,0.0667,"No, they are not. Kaiping is located in Guangdong Province, while Pingxiang is located in Guangxi Zhuang Autonomous Region. Guandong is not a province in China, it seems to be a typo or a mistake in the text. The correct province is Guangdong.",no,4.41,ok,,,2.354
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",3445,877,3423,855,23,0.7454,True,0.8,The Atlantic Ocean.,Atlantic Ocean,4.32,ok,,,0.707
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",3055,780,3033,758,24,0.7447,True,1.0,Band-e Amir National Park,Band-e Amir National Park,4.23,ok,,,0.556
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",5087,1289,5064,1266,25,0.7466,True,0.6667,Long Island and Fire Island.,Long Island,4.6,ok,,,1.542
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",3459,891,3424,856,36,0.7424,True,1.0,duck,duck,4.31,ok,,,0.713
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",4945,1261,4911,1227,35,0.745,True,1.0,"Umina Beach, New South Wales","Umina Beach, New South Wales",4.55,ok,,,1.458
