model_key,model_hf_id,repo_name,file_path,example_id,ratio_name,compressor_model,original_input_tokens,compressed_input_tokens,output_tokens,input_token_reduction,exact_match,edit_sim,prefix_match,prediction,gold_next_line,elapsed_s,status,error_type,error_message,compression_meta
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,falesiani/torch_ga,torch_ga/torch_ga.py,falesiani/torch_ga/torch_ga/torch_ga.py#0,6x,NousResearch/Llama-2-7b-hf,6227,1367,23,0.7805,False,0.7632,False,"        self._cayley_tensor = get_cayley_tensor(self._metric, self._num_blades)","        _list = get_cayley_tensor(self.metric, self._bases, self._blades)",8.98,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 5791, ""compressed_tokens"": 936, ""ratio"": ""6.2x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 14, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,nttcom/WASB-SBDT,src/losses/heatmap.py,nttcom/WASB-SBDT/src/losses/heatmap.py#1,6x,NousResearch/Llama-2-7b-hf,3090,658,8,0.7871,True,1.0,False,            self._loss = BCELoss(),            self._loss = BCELoss(),4.55,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 2895, ""compressed_tokens"": 498, ""ratio"": ""5.8x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 6, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,giulio98/functional-diffusion-processes,src/functional_diffusion_processes/losses/mse_loss.py,giulio98/functional-diffusion-processes/src/functional_diffusion_processes/losses/mse_loss.py#2,6x,NousResearch/Llama-2-7b-hf,8111,1249,5,0.846,False,0.26,False,    @abc.abstractmethod,"    def construct_loss_fn(self, model: Union[BaseMAML, BaseViT]) -> Callable:",9.09,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 7779, ""compressed_tokens"": 927, ""ratio"": ""8.4x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 4, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,Elfenreigen/UniChest,train.py,Elfenreigen/UniChest/train.py#3,6x,NousResearch/Llama-2-7b-hf,15987,3931,13,0.7541,False,0.7018,False,"    optimizer = create_optimizer(arg_opt, model_without_ddp)","    optimizer = create_optimizer(arg_opt, model_without_ddp,image_encoder_without_ddp,text_encoder_without_ddp)",24.12,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 14459, ""compressed_tokens"": 2539, ""ratio"": ""5.7x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 17, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,kinggongzilla/ai-clone-whatsapp,utils/config_utils.py,kinggongzilla/ai-clone-whatsapp/utils/config_utils.py#4,6x,NousResearch/Llama-2-7b-hf,1746,850,12,0.5132,False,0.6911,False,"                kwargs[""batch_sampler""] = LengthBasedBatchSampler(","                kwargs[""batch_sampler""] = LengthBasedBatchSampler(dataset, batch_size, drop_last=True, shuffle=mode==""train"")",4.96,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 1084, ""compressed_tokens"": 194, ""ratio"": ""5.6x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 8, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,Eclectic-Sheep/sheeprlhf,sheeprlhf/task/train/ppo.py,Eclectic-Sheep/sheeprlhf/sheeprlhf/task/train/ppo.py#5,6x,NousResearch/Llama-2-7b-hf,9613,2822,7,0.7064,True,1.0,False,                    v_loss = value_loss(,                    v_loss = value_loss(,16.27,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 8257, ""compressed_tokens"": 1494, ""ratio"": ""5.5x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 24, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,UMass-Foundation-Model/CoVLM,transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py,UMass-Foundation-Model/CoVLM/transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py#6,6x,NousResearch/Llama-2-7b-hf,34123,2850,10,0.9165,True,1.0,False,"        output_type=SequenceClassifierOutputWithPast,","        output_type=SequenceClassifierOutputWithPast,",23.39,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 32704, ""compressed_tokens"": 1581, ""ratio"": ""20.7x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 10, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,nexB/dejacode,workflow/models.py,nexB/dejacode/workflow/models.py#7,6x,NousResearch/Llama-2-7b-hf,6268,1927,7,0.6926,False,0.5816,False,            self.request_count = true_count,            get_unsecured_manager(model_class).filter(pk=self.pk).update(request_count=true_count),11.32,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 5285, ""compressed_tokens"": 945, ""ratio"": ""5.6x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 9, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,KoeAI/LLVC,minimal_rvc/model.py,KoeAI/LLVC/minimal_rvc/model.py#8,6x,NousResearch/Llama-2-7b-hf,7151,1665,17,0.7672,False,0.9216,False,            self.model = SynthesizerTrnMs256NSFSid(,            self.net_g = SynthesizerTrnMs256NSFSid(,11.1,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 6270, ""compressed_tokens"": 886, ""ratio"": ""7.1x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 6, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,oracle/guardian-ai,tests/unitary/test_fairness_metrics.py,oracle/guardian-ai/tests/unitary/test_fairness_metrics.py#9,6x,NousResearch/Llama-2-7b-hf,16581,3417,13,0.7939,True,1.0,False,"    ""false_positive_rate_scorer"": false_positive_rate,","    ""false_positive_rate_scorer"": false_positive_rate,",21.13,ok,,,"{""kwargs"": {""question"": """", ""condition_in_question"": ""none"", ""reorder_context"": ""original"", ""dynamic_context_compression_ratio"": 0.0, ""condition_compare"": false, ""context_budget"": ""+0"", ""rank_method"": ""llmlingua"", ""rate"": 0.17}, ""origin_tokens"": 15899, ""compressed_tokens"": 2831, ""ratio"": ""5.6x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 27, ""used_merged_context"": false}"
