model_key,repo_name,file_path,split,level,gold_snippet_index,injection_layer,rank,baseline_input_tokens,vector_input_tokens,vector_f_input_tokens,vector_f_sum_input_tokens,matrix_input_tokens,matrix_f_input_tokens,input_reduction_vector,input_reduction_vector_f,input_reduction_vector_f_sum,input_reduction_matrix,input_reduction_matrix_f,baseline_edit_sim,vector_edit_sim,vector_f_edit_sim,vector_f_sum_edit_sim,matrix_edit_sim,matrix_f_edit_sim,baseline_exact_match,vector_exact_match,vector_f_exact_match,vector_f_sum_exact_match,matrix_exact_match,matrix_f_exact_match,delta_vector,delta_vector_f,delta_vector_f_sum,delta_matrix,delta_matrix_f,f_contrib_vector,f_contrib_matrix,sum_vs_code_f,baseline_output,vector_output,vector_f_output,vector_f_sum_output,matrix_output,matrix_f_output,gold_next_line,fact_block,summary_block,elapsed_baseline_s,elapsed_vector_s,elapsed_vector_f_s,elapsed_vector_f_sum_s,elapsed_matrix_s,elapsed_matrix_f_s
deepseek-14b,Muhammadali-Akbarov/aiogram-bot-template,aiogram_bot_template/db/db_api/storages/postgres/storage.py,cross_file_first,2k,2,29,8,868,438,506,495,438,506,0.4954,0.4171,0.4297,0.4954,0.4171,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,    ) -> SingleQueryResult:,    ) -> SingleQueryResult:,    ) -> SingleQueryResult:,    ) -> SingleQueryResult:,    ) -> SingleQueryResult:,    ) -> SingleQueryResult:,    ) -> SingleQueryResult:,"Facts: __init__(self, results: list[typing.Mapping[str, Any]]); _fetch(
        self,
        sql: str,
        params: Optional[tuple[Any, ...] | list[tuple[Any, ...]]] = None,
        con: Optional[Any] = None,
    ) -> MultipleQueryResults...","Summary:
The code defines classes for handling database query results and a base raw connection class. The `MultipleQueryResults` and `SingleQueryResult` classes provide methods to convert query results into model instances. The `RawConnection` class defines abstract methods for executing queries an",9.6,5.17,6.24,6.04,5.2,6.27
deepseek-14b,ATR-DBI/CityRefer,models/cityrefer.py,cross_file_first,2k,0,29,8,1289,344,424,366,344,424,0.7331,0.6711,0.7161,0.7331,0.6711,0.6437,0.4966,0.3636,0.472,0.2791,0.362,False,False,False,False,False,False,-0.1471,-0.2801,-0.1717,-0.3646,-0.2817,-0.133,0.0829,0.1084,        self.backbone = SparseConvEncoder(input_dim=input_feature_dim),        # self.point_net = SparseConvEncoder(,        # SparseConvEncoder is a module that takes in a batch of sparse tensors and outputs a batch of dense tensors,        # input_feature_dim: number of features per point,        # Sparse Backbone,        # SparseConvEncoder is a module that takes in a batch of sparse tensors and outputs a batch of dense tensors.,        self.sparse_conv = SparseConvEncoder(self.input_feature_dim) # self.input_feature_dim = 3 -> 128,"Facts: __init__(self, input_dim); forward(self, x); __init__(self, num_object_class, vocab_size, use_lang_classifier=True, use_bidir=False, 
        embed_dim=256, hidden_size=256, max_num_landmark=128, padding_idx=0); SparseConvEncoder(nn.Module); LandLangModule(nn.Module)","Summary:
This code is part of a city navigation system, handling language and visual features for landmarks.
</think>",14.54,4.77,5.22,4.96,4.76,5.22
deepseek-14b,pantherale0/ha-fuelprices,custom_components/fuel_prices/device_tracker.py,cross_file_first,2k,1,29,8,656,204,272,283,204,272,0.689,0.5854,0.5686,0.689,0.5854,0.3673,0.1765,0.3673,0.2899,0.6364,0.6833,False,False,False,False,False,False,-0.1908,0.0,-0.0774,0.2691,0.316,0.1908,0.0469,-0.0774,    config = entry.data,    # Extract configuration,    config = entry.data,"    _LOGGER.debug(""Setting up device tracker for fuel prices."")",    coordinator = hass.data[DOMAIN],    coordinator = FuelPricesCoordinator(hass),    cooridinator: FuelPricesCoordinator = hass.data[DOMAIN][entry.entry_id],"Facts: __init__(
        self, coordinator: FuelPricesCoordinator, fuel_station_id, entity_id, source
    ) -> None; _fuel_station(self); __init__(self, hass: HomeAssistant, api: FuelPrices, name: str) -> None; _async_update_data(self); DOMAIN = ""fuel_prices""","Summary:
This is a Home Assistant custom component that tracks fuel prices. It uses a coordinator to fetch data periodically and creates entities for each fuel station.
Okay, I need to write a structured reference for the given Home Assistant custom component code. The user provided several code sni",7.96,3.2,4.42,4.47,3.2,4.41
deepseek-14b,sehyunkwon/ICTC,step2b.py,cross_file_first,2k,1,29,8,1097,577,614,627,577,614,0.474,0.4403,0.4284,0.474,0.4403,1.0,0.9212,1.0,0.9651,0.9212,1.0,True,False,True,False,False,True,-0.0788,0.0,-0.0349,-0.0788,0.0,0.0788,0.0788,-0.0349,"            response = get_gpt_response(system_prompt, user_prompt, api_key, user, model)","            response = get_gpt_response(system_prompt, user_prompt, api_key)","            response = get_gpt_response(system_prompt, user_prompt, api_key, user, model)","            response = get_gpt_response(system_prompt, user_prompt, api_key, model)","            response = get_gpt_response(system_prompt, user_prompt, api_key)","            response = get_gpt_response(system_prompt, user_prompt, api_key, user, model)","            response = get_gpt_response(system_prompt, user_prompt, api_key, user, model)","Facts: str2bool(v); get_gpt_response(system_prompt, user_prompt, api_key, user, model); get_llama_response(system_prompt, user_prompt, url)","Summary:
This codebase contains utilities for interacting with LLMs, including GPT and Llama models. It includes functions to send requests to these models, handle responses, and retry failed requests. The argument parsing function is also provided.
</think>",12.01,6.72,7.31,6.37,6.71,7.3
deepseek-14b,theroyallab/tabbyAPI,start.py,cross_file_first,2k,0,29,8,684,484,505,534,484,505,0.2924,0.2617,0.2193,0.2924,0.2617,0.5714,0.3457,0.5714,0.4848,0.3457,0.3544,False,False,False,False,False,False,-0.2257,0.0,-0.0866,-0.2257,-0.217,0.2257,0.0087,-0.0866,    entrypoint(args),    from main import entrypoint,    entrypoint(args),    entrypoint(),    from main import entrypoint,    # Run the main entrypoint,"    entrypoint(convert_args_to_dict(args, parser))","Facts: convert_args_to_dict(args: argparse.Namespace, parser: argparse.ArgumentParser); init_argparser()","Summary:
The code defines two functions in args.py: convert_args_to_dict and init_argparser. The first converts argparse.Namespace to a dictionary of argument groups, and the second initializes an argument parser with various argument groups added via other functions.
</think>",8.14,5.95,6.35,0.54,5.93,6.36
deepseek-14b,a16z-infra/sunlight,model/agent.py,cross_file_first,2k,0,29,8,1366,857,907,891,857,907,0.3726,0.336,0.3477,0.3726,0.336,0.4,0.4,0.4231,0.4231,0.4231,0.4231,False,False,False,False,False,False,0.0,0.0231,0.0231,0.0231,0.0231,0.0231,0.0,0.0,        logging.info('Agent started'),"        logging.info(""Agent started"")",        while True:,        while True:,        while True:,        while True:,        diffbot = DiffbotClient(),"Facts: request(self, url, token, api, version=3); DiffbotClient(object); BASE_API_URL = 'http://api.diffbot.com'; TIMEOUT_MS = 15000; SLANT_DESCRIPTION = '''Describe","Summary:
This is a reference document for the codebase. It includes function signatures, class names, key methods, import relationships, constants, and type aliases.
</think>",15.03,9.8,10.06,9.99,9.78,10.06
deepseek-14b,lldacing/comfyui-easyapi-nodes,easyapi/ImageNode.py,cross_file_first,2k,2,29,8,1372,924,968,964,924,968,0.3265,0.2945,0.2974,0.3265,0.2945,0.5429,0.7154,0.5085,0.4762,0.7154,0.7105,False,False,False,False,False,False,0.1725,-0.0344,-0.0667,0.1725,0.1676,-0.2069,-0.0049,-0.0323,            # 解析base64图片数据,"            image = base64_to_image(base64Image['data'], base64Image['format'])","            if isinstance(base64Image, str) and base64Image.strip() != '':","            if isinstance(base64Image, str) and base64Image.startswith('base64:'):","            image = base64_to_image(base64Image['data'], base64Image['format'])",            # print(base64Image),            i = base64_to_image(base64Image),"Facts: tensor_to_pil(image); pil_to_tensor(image); base64_to_image(base64_string); image_to_base64(pli_image, pnginfo=None); read_image_from_url(image_url)","Summary:
This code provides utility functions for converting between different image formats, including tensors, PIL images, Base64 strings, and URLs. It also includes functions for reading images from URLs.
</think>",15.07,10.11,10.32,10.25,10.11,10.32
deepseek-14b,fepegar/jvol,src/jvol/jvol.py,cross_file_first,2k,0,29,8,1224,612,677,650,612,677,0.5,0.4469,0.469,0.5,0.4469,0.6835,0.3636,0.6835,0.6835,0.4062,0.4375,False,False,False,False,False,False,-0.3199,0.0,0.0,-0.2773,-0.246,0.3199,0.0313,0.0,"        array, ijk_to_ras = open_jvol(path)",        # Open the file and read the data,"        array, ijk_to_ras = open_jvol(path)","        array, ijk_to_ras = open_jvol(path)",        # Read the JVol file,        # Open the JVol file,        return cls(*open_jvol(path)),"Facts: open_jvol(path: Path) -> Tuple[np.ndarray, np.ndarray]; save_jvol(
    array: np.ndarray,
    ijk_to_ras: np.ndarray,
    path: Path,
    block_size: int = 4,
    quality: int = 60,
) -> None","Summary:
This code provides functions to read and write jvol files. The functions are open_jvol and save_jvol. The functions use numpy for array operations and file handling.
</think>",12.77,7.27,8.12,7.94,7.26,8.12
deepseek-14b,davep/tinboard,tinboard/widgets/tags.py,cross_file_first,2k,2,29,8,983,770,806,797,770,806,0.2167,0.1801,0.1892,0.2167,0.1801,1.0,1.0,1.0,1.0,0.8793,0.8793,True,True,True,True,False,False,0.0,0.0,0.0,-0.1207,-0.1207,0.0,0.0,0.0,            self.post_message(ShowTaggedWith(event.option.id)),            self.post_message(ShowTaggedWith(event.option.id)),            self.post_message(ShowTaggedWith(event.option.id)),            self.post_message(ShowTaggedWith(event.option.id)),            self.emit(ShowTaggedWith(event.option.id)),            self.emit(ShowTaggedWith(event.option.id)),            self.post_message(ShowTaggedWith(event.option.id)),Facts: clear_options(self) -> Self; ClearTags(Message); ShowAlsoTaggedWith(TagMessage); ShowTaggedWith(TagMessage); OptionListEx(OptionList),"Summary:
The code provided includes message classes for tag operations and an extended option list widget with custom bindings and a clear method.
</think>",10.71,9.47,9.59,9.57,9.46,9.58
deepseek-14b,wuc9521/rep-flow,app.py,cross_file_first,2k,0,29,8,1414,347,402,404,347,402,0.7546,0.7157,0.7143,0.7546,0.7157,0.087,0.1867,0.1944,0.1944,0.2632,0.2381,False,False,False,False,False,False,0.0997,0.1074,0.1074,0.1762,0.1511,0.0077,-0.0251,0.0,"qa.update({k: v for k, v in zip(std['A'], std['TYPE'])})","std = dict(zip(std['TYPE'], std['ID']))","std = dict(zip(std['A'], std['ID']))","std = dict(zip(std['A'], std['ID']))","qa_list = df[['Q', 'A']].values.tolist()","qa_list = df[['Q', 'A', 'TYPE']].values.tolist()",key_words = read_keywords_from_file(,"Facts: read_keywords_from_file(file_path, app: Flask = None); LIST_DIR = os.path.join(os.path.dirname(__file__),; TEST_DIR = []; DATA_DIR = os.path.join(os.path.dirname(__file__),; LIST_DIR = os.path.join(DATA_DIR,","Summary:
This is a Python codebase for a web application, likely a test monitoring system. It includes functions for reading keywords from a file, generating hints, processing images, and logging. The code is spread across multiple files, with some constants and functions shared between them.
</thin",15.49,4.83,5.19,5.2,4.81,5.18
