model_key,model_hf_id,task,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,attention_estimated_gb
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",5202,1321,5174,1293,30,0.7461,False,0.0,Alberic I of Tusculum.,,6.4,ok,,,2.016
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",2240,575,2219,554,23,0.7433,True,0.3333,Pleiospilos is a flowering plant.,Pleiospilos,4.27,ok,,,0.374
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",6222,1572,6199,1549,24,0.7473,True,0.6667,"Louisville, Kentucky",Louisville,4.84,ok,,,2.884
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",5415,1369,5394,1348,23,0.7472,True,0.1667,"Yes, both the Tundra Mine and Negus Mine were located in Canada.",yes,4.6,ok,,,2.185
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",6544,1654,6520,1630,26,0.7472,True,0.1538,"No, Kaiping is in Guangdong Province, while Pingxiang, Guangxi is in Guangxi Zhuang Autonomous Region.",no,6.76,ok,,,3.191
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",3497,890,3475,868,23,0.7455,True,1.0,Atlantic Ocean,Atlantic Ocean,4.76,ok,,,0.911
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",3326,848,3304,826,24,0.745,True,1.0,Band-e Amir National Park.,Band-e Amir National Park,4.47,ok,,,0.824
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",5330,1349,5307,1326,25,0.7469,False,0.1,"Oak Beach, New York and Great South Bay are both situated between the same island, which is Fire Island.",Long Island,5.93,ok,,,2.117
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",3560,916,3525,881,36,0.7427,True,0.0833,"The Hardley Flood is an area of tidal lagoons and reedbeds that supports populations of waterfowl, specifically the common pochard, which is a medium-sized diving duck.",duck,4.58,ok,,,0.944
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",5143,1311,5109,1277,35,0.7451,False,0.5714,Umina Beach,"Umina Beach, New South Wales",6.23,ok,,,1.971
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,4567b6935bf5c64a1974b1089d67d176d9acac6b29836cb7,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",4519,1174,4460,1115,60,0.7402,False,0.6667,Start,IK Start,5.55,ok,,,1.522
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,d3b197d5b4da1198fc9c232524faced0f528b89f919b8061,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",5695,1436,5678,1419,19,0.7478,True,0.2222,"Allure is a beauty magazine, while Claudia is a women's magazine.",Allure,4.83,ok,,,2.416
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,4670f2a542ac06d27e47a74a042cf57f743fba34722a7dc5,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",4608,1187,4561,1140,49,0.7424,True,0.6667,William Shakespeare,William,4.06,ok,,,1.582
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,hotpotqa,9dc6d234e2406aef691ea02ddc2064f343fc30cbc534c937,4x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",5802,1467,5780,1445,24,0.7472,True,0.1667,"Yes, both Pothos and Tibouchina Aubl are flowering genera of plants.",yes,6.24,ok,,,2.508
