model_key,model_hf_id,task,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,attention_estimated_gb
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5033,1279,5005,1251,30,0.7459,True,0.3529,"Pope John X gave the mother of Alberic II of Spoleto, Marozia, the title ""patricia"" of Rome.",Pope John X,4.66,ok,,,1.51
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",2196,564,2175,543,23,0.7432,True,0.25,Both Pueraria and Pleiospilos are flowering plants.,Pleiospilos,1.3,ok,,,0.287
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",6257,1580,6235,1558,24,0.7475,True,0.6667,"Louisville, Kentucky",Louisville,3.17,ok,,,2.334
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5473,1384,5451,1362,25,0.7471,True,0.1667,"Yes, both the Tundra Mine and Negus Mine were located in Canada.",yes,3.26,ok,,,1.785
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",6603,1668,6579,1644,26,0.7474,True,0.1333,"No, Kaiping is located in Guangdong Province, while Pingxiang, Guangxi is located in the Guangxi Zhuang Autonomous Region.",no,5.3,ok,,,2.599
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",3566,908,3544,886,23,0.7454,True,0.8,The Atlantic Ocean,Atlantic Ocean,1.4,ok,,,0.758
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",3296,840,3274,818,24,0.7451,True,1.0,Band-e Amir National Park,Band-e Amir National Park,1.34,ok,,,0.648
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5382,1362,5359,1339,26,0.7469,False,0.5,Fire Island,Long Island,2.3,ok,,,1.727
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",3562,916,3528,882,35,0.7428,True,0.0,Ducks,,1.35,ok,,,0.756
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5185,1322,5150,1287,36,0.745,False,0.5714,Umina Beach,"Umina Beach, New South Wales",2.49,ok,,,1.602
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,4567b6935bf5c64a1974b1089d67d176d9acac6b29836cb7,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",4504,1170,4445,1111,60,0.7402,False,0.6667,Start,IK Start,1.72,ok,,,1.209
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,d3b197d5b4da1198fc9c232524faced0f528b89f919b8061,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5749,1450,5732,1433,19,0.7478,True,0.0909,"Both Allure and Claudia are beauty magazines. Allure is an American women's magazine focused on beauty, while Claudia is a Polish women's magazine that also covers beauty topics.",Allure,4.28,ok,,,1.97
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,4670f2a542ac06d27e47a74a042cf57f743fba34722a7dc5,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",4493,1156,4449,1112,46,0.7427,True,1.0,William,William,1.92,ok,,,1.203
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,9dc6d234e2406aef691ea02ddc2064f343fc30cbc534c937,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5591,1414,5569,1392,24,0.7471,True,0.1,"Yes, both Pothos and Tibouchina are flowering genera of plants. Pothos is a genus in the family Araceae, while Tibouchina is a genus in the family Melastomataceae.",yes,4.6,ok,,,1.863
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,5e7675388334946fc508c4c8ac4ab0c491910fcc0e048bfd,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5449,1380,5425,1356,25,0.7467,True,0.1333,"The SR connector is based on the American BNC connector, which is often used for coaxial cables.",coaxial,3.43,ok,,,1.77
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,78e73e15102e688a5b5f43155b11658907db8caa30fdb16e,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",1844,488,1808,452,37,0.7354,False,1.0,"Suining had a population of 658,798 in 2002.","In 2002, Suining had a population of 658,798.",1.56,ok,,,0.203
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,4d6aafffd109cb61fd543f44bda770fda0cf1e1c3798548b,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",4721,1208,4684,1171,37,0.7441,True,1.0,Albert Park,Albert Park,2.08,ok,,,1.328
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,ddd046530f4979511397f82fe5391d0a646c0aa18225a98e,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5050,1274,5034,1258,18,0.7477,True,1.0,"Toronto, Ontario","Toronto, Ontario",2.13,ok,,,1.52
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,57543e0892f90733bf97dc270cdb36eb9bf8e2230940bcb9,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",3893,993,3866,966,29,0.7449,True,1.0,Henry Goes Arizona,Henry Goes Arizona,1.7,ok,,,0.903
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,ee29eb2556135405fa19a48b0abdff0aceddef7594169c33,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5411,1366,5393,1348,20,0.7476,False,0.0,"William Le Poer Trench's father, William Trench, 1st Earl of Clancarty, died on 24 November 1837.",,4.04,ok,,,1.745
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,884614fa7d0fe723587d2f2677d3f2143cd13ab74391bea6,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5875,1481,5858,1464,18,0.7479,True,1.0,"Dayton, Ohio","Dayton, Ohio",2.94,ok,,,2.057
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,7940c60a5ff2d81b62d118253577d1d891057ca45695e91a,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5152,1306,5128,1282,26,0.7465,True,1.0,"Oklahoma City, Oklahoma","Oklahoma City, Oklahoma",2.22,ok,,,1.582
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,63df7238a0005c6bffc122ca97570a95eb1d3711abaee205,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",2339,599,2320,580,21,0.7439,True,0.2,"Yes, both Nick Varner and Carl Duser are American.",yes,1.39,ok,,,0.326
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,7140432f1c424674d04ea819fa63f85aa4f154d72ab66285,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5620,1417,5604,1401,18,0.7479,False,0.0,"Marcus Annius Libo's aunt is not explicitly mentioned in the provided passages. However, based on the information given, we can infer that his aunt is likely Annia Fundania Faustina, who is mentioned as the sister of Marcus Annius Libo (consul 161) and the wife of Titus Pomius Pro. This Marcus Annius Libo is the son of Marcus An",,6.02,ok,,,1.883
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,6e7d2d0700c8ec6fc15dc188c42d8104b89935219254fdaf,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",4645,1177,4623,1155,24,0.7466,True,1.0,"Castlemaine, Victoria, Australia","Castlemaine, Victoria, Australia",2.3,ok,,,1.286
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,9b0b29e391c61c570b20fae813486bc757c1fb7d25d83049,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",6544,1651,6524,1631,21,0.7477,False,0.0,Bhanurangsi Savangwongse,,3.27,ok,,,2.553
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,ead67129fee9b0024c9c3f53041469d74cf8a0281e39febb,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",5026,1282,4991,1247,37,0.7449,True,0.3333,"Yes, both directors are British.",yes,2.37,ok,,,1.506
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,2wikimqa,7a35ba110f4c26f7eb9d4dcc2e8c1baac383c777f0904976,4x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",4557,1159,4530,1132,29,0.7457,False,0.0,Khud-Daar,,2.11,ok,,,1.238
