model_key,model_hf_id,task,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,attention_estimated_gb
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",4998,1270,4970,1242,30,0.7459,True,1.0,Pope John X,Pope John X,7.6,ok,,,2.978
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",2198,565,2177,544,23,0.7429,False,0.0,Both are flowering plants.,,2.36,ok,,,0.576
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",5859,1482,5836,1459,24,0.7471,True,0.6667,"Louisville, Kentucky",Louisville,6.49,ok,,,4.092
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",5077,1285,5056,1264,23,0.7469,True,0.25,"Yes, both mines were located in Canada.",yes,6.25,ok,,,3.073
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",6285,1589,6261,1565,26,0.7472,True,0.1429,"No, Kaiping is located in Guangdong Province, while Pingxiang, Guangxi is located in Guangxi Zhuang Autonomous Region.",no,10.61,ok,,,4.709
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",3445,877,3423,855,23,0.7454,True,0.8,The Atlantic Ocean.,Atlantic Ocean,3.41,ok,,,1.415
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",3055,780,3033,758,24,0.7447,False,0.5714,Band-e-Amir National Park,Band-e Amir National Park,3.28,ok,,,1.113
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",5087,1289,5064,1266,25,0.7466,True,0.6667,Long Island and Fire Island,Long Island,5.71,ok,,,3.085
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",3459,891,3424,856,36,0.7424,True,0.6667,Diving duck,duck,3.35,ok,,,1.426
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",4945,1261,4911,1227,35,0.745,False,0.5714,Umina Beach,"Umina Beach, New South Wales",5.04,ok,,,2.915
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,4567b6935bf5c64a1974b1089d67d176d9acac6b29836cb7,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",4220,1096,4165,1041,56,0.7403,False,0.6667,Start,IK Start,3.54,ok,,,2.123
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,d3b197d5b4da1198fc9c232524faced0f528b89f919b8061,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",5289,1335,5272,1318,19,0.7476,True,0.25,Both Allure and Claudia are beauty magazines.,Allure,6.48,ok,,,3.335
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,4670f2a542ac06d27e47a74a042cf57f743fba34722a7dc5,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",4138,1068,4093,1023,47,0.7419,True,1.0,William,William,3.5,ok,,,2.041
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,9dc6d234e2406aef691ea02ddc2064f343fc30cbc534c937,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",5731,1449,5709,1427,24,0.7472,True,0.1667,"Yes, both Pothos and Tibouchina Aubl are flowering genus of plants.",yes,8.38,ok,,,3.915
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,5e7675388334946fc508c4c8ac4ab0c491910fcc0e048bfd,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",5262,1333,5238,1309,25,0.7467,True,0.6667,Coaxial cable.,coaxial,5.44,ok,,,3.301
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,78e73e15102e688a5b5f43155b11658907db8caa30fdb16e,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",1755,460,1726,431,31,0.7379,False,1.0,"Suining had a population of 658,798 in 2002.","In 2002, Suining had a population of 658,798.",3.35,ok,,,0.367
llama3.1-70b,meta-llama/Llama-3.1-70B-Instruct,hotpotqa,4d6aafffd109cb61fd543f44bda770fda0cf1e1c3798548b,4x,35,"[43, 19, 40, 17, 21, 7, 24, 27]",4427,1133,4392,1098,35,0.7441,True,1.0,Albert Park,Albert Park,4.38,ok,,,2.336
