model_key,model_hf_id,repo_name,file_path,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,edit_sim,prefix_match,prediction,gold_next_line,elapsed_s,status,error_type,error_message,attention_estimated_gb
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,falesiani/torch_ga,torch_ga/torch_ga.py,falesiani/torch_ga/torch_ga/torch_ga.py#0,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",6242,1424,5804,986,52,0.7719,False,0.8356,False,"self._cayley = get_cayley_tensor(self._metric, self._bases, self._blades)","        _list = get_cayley_tensor(self.metric, self._bases, self._blades)",8.0,ok,,,2.903
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,nttcom/WASB-SBDT,src/losses/heatmap.py,nttcom/WASB-SBDT/src/losses/heatmap.py#1,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",3105,663,2942,500,51,0.7865,False,0.2807,False,elif loss_name=='wbce':,            self._loss = BCELoss(),4.63,ok,,,0.718
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,giulio98/functional-diffusion-processes,src/functional_diffusion_processes/losses/mse_loss.py,giulio98/functional-diffusion-processes/src/functional_diffusion_processes/losses/mse_loss.py#2,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",8126,1658,7792,1324,38,0.796,False,0.1875,False,@abc.abstractmethod,"    def construct_loss_fn(self, model: Union[BaseMAML, BaseViT]) -> Callable:",8.41,ok,,,4.92
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Elfenreigen/UniChest,train.py,Elfenreigen/UniChest/train.py#3,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",16002,16002,14613,14613,0,0.0,False,0.0,False,,"    optimizer = create_optimizer(arg_opt, model_without_ddp,image_encoder_without_ddp,text_encoder_without_ddp)",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=19.08GiB budget=8.00GiB seq_len=16002,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,kinggongzilla/ai-clone-whatsapp,utils/config_utils.py,kinggongzilla/ai-clone-whatsapp/utils/config_utils.py#4,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",1761,852,1095,186,34,0.5162,False,0.5714,False,"kwargs[""batch_sampler""] = LengthBasedBatchSampler(","                kwargs[""batch_sampler""] = LengthBasedBatchSampler(dataset, batch_size, drop_last=True, shuffle=mode==""train"")",3.87,ok,,,0.231
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Eclectic-Sheep/sheeprlhf,sheeprlhf/task/train/ppo.py,Eclectic-Sheep/sheeprlhf/sheeprlhf/task/train/ppo.py#5,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",9628,2743,8294,1409,43,0.7151,False,0.0,False,</think>,                    v_loss = value_loss(,10.25,ok,,,6.907
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,UMass-Foundation-Model/CoVLM,transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py,UMass-Foundation-Model/CoVLM/transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py#6,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",34138,34138,32855,32855,0,0.0,False,0.0,False,,"        output_type=SequenceClassifierOutputWithPast,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=86.83GiB budget=8.00GiB seq_len=34138,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,nexB/dejacode,workflow/models.py,nexB/dejacode/workflow/models.py#7,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",6283,1895,5286,898,42,0.6984,False,0.507,False,manager = get_unsecured_manager(model_class),            get_unsecured_manager(model_class).filter(pk=self.pk).update(request_count=true_count),7.27,ok,,,2.941
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,KoeAI/LLVC,minimal_rvc/model.py,KoeAI/LLVC/minimal_rvc/model.py#8,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",7166,1866,6385,1085,53,0.7396,False,0.8667,False,self.net_g = SynthesizerTrnMs256NSFSid(,            self.net_g = SynthesizerTrnMs256NSFSid(,7.39,ok,,,3.826
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,oracle/guardian-ai,tests/unitary/test_fairness_metrics.py,oracle/guardian-ai/tests/unitary/test_fairness_metrics.py#9,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",16596,16596,16014,16014,0,0.0,False,0.0,False,,"    ""false_positive_rate_scorer"": false_positive_rate,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=20.52GiB budget=8.00GiB seq_len=16596,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,chinhsuanwu/ifusion,ldm/models/diffusion/ddpm.py,chinhsuanwu/ifusion/ldm/models/diffusion/ddpm.py#10,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",9384,2375,8444,1435,44,0.7469,False,0.037,False,</think>,"        count_params(self.model, verbose=True)",9.36,ok,,,6.561
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,RobertCsordas/moe_attention,dataset/text/chunked_setencepiece_lm_dataset.py,RobertCsordas/moe_attention/dataset/text/chunked_setencepiece_lm_dataset.py#11,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",2988,1558,1722,292,51,0.4786,False,0.1653,False,from .tokenizers.sentencepiece import SentencepieceVocabulary,    def start_test(self) -> WordLevelLanguageModelTestState:,4.39,ok,,,0.665
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,colour-science/colour-visuals,utilities/generate_plots.py,colour-science/colour-visuals/utilities/generate_plots.py#12,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",23548,23548,22567,22567,0,0.0,False,0.0,False,,"        (VisualPointerGamut2D, {}, None),",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=41.31GiB budget=8.00GiB seq_len=23548,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,rohitsinghlab/sceodesic,sceodesic/sceo_main/run_sceo.py,rohitsinghlab/sceodesic/sceodesic/sceo_main/run_sceo.py#13,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",2725,1584,1374,233,41,0.4187,False,0.3288,False,# modules and embeddings are to be ordered based on the second moment,"    data_embedding, modules = order_by_second_moment(data_embedding, modules)",4.46,ok,,,0.553
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,StackTipsLab/bloggy,bloggy/models/post.py,StackTipsLab/bloggy/bloggy/models/post.py#14,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",3602,1042,3084,524,39,0.7107,False,0.7952,False,categories = models.ManyToManyField(,    category = models.ManyToManyField(Category),4.59,ok,,,0.967
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,TheCompAce/ShellSpeak,main.py,TheCompAce/ShellSpeak/main.py#15,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",10338,2281,9707,1650,33,0.7794,False,0.093,False,elif choice == '2':,            setup_menu(),11.22,ok,,,7.963
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,modelscope/normal-depth-diffusion,libs/omnidata_torch/lib/zoe/zoedepth/models/zoedepth/zoedepth_v1.py,modelscope/normal-depth-diffusion/libs/omnidata_torch/lib/zoe/zoedepth/models/zoedepth/zoedepth_v1.py#16,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",8095,2719,6477,1101,50,0.6641,False,0.4043,False,self.depth_net = nn.Sequential(,        self.conditional_log_binomial = ConditionalLogBinomial(,9.88,ok,,,4.882
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,upfusion3d/upfusion,control_net/cldm/cldm_dfslt.py,upfusion3d/upfusion/control_net/cldm/cldm_dfslt.py#17,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",22293,22293,21039,21039,0,0.0,False,0.0,False,,                TimestepEmbedSequential(,0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=37.03GiB budget=8.00GiB seq_len=22293,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,liuqidong07/MOELoRA-peft,src/MLoRA/peft/tuners/prompt_tuning.py,liuqidong07/MOELoRA-peft/src/MLoRA/peft/tuners/prompt_tuning.py#18,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",927,596,398,67,44,0.3571,False,0.1385,False,# The code is trying to initialize the tokenizer if the prompt_tuning_init is TEXT.,        self.peft_type = PeftType.PROMPT_TUNING,3.52,ok,,,0.064
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,KieDani/Towards_3D_Object_Localization,general/train.py,KieDani/Towards_3D_Object_Localization/general/train.py#19,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",6207,3415,3363,571,71,0.4498,False,0.5167,False,"create_heatmaps(joint, output_size=(H, W), sigma=8, factor=1)","        heatmap = create_heatmaps(joint, (H, W)).squeeze(0)",7.94,ok,,,2.87
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,facebookresearch/chat2map-official,main.py,facebookresearch/chat2map-official/main.py#20,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",3656,933,3280,557,47,0.7448,False,0.7154,False,trainer = baseline_registry.get_trainer(args.run_type),    trainer_init = baseline_registry.get_trainer(config.TRAINER_NAME),4.57,ok,,,0.996
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,nexB/dejacode,product_portfolio/admin.py,nexB/dejacode/product_portfolio/admin.py#21,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",26717,26717,25328,25328,0,0.0,False,0.0,False,,    mass_update_form = ProductMassUpdateForm,0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=53.18GiB budget=8.00GiB seq_len=26717,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,BobaZooba/xllm,src/xllm/experiments/base.py,BobaZooba/xllm/src/xllm/experiments/base.py#22,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",22897,22897,21620,21620,0,0.0,False,0.0,False,,            self.tokenizer = self.build_tokenizer(),0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=39.06GiB budget=8.00GiB seq_len=22897,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,spla-tam/SplaTAM,scripts/splatam.py,spla-tam/SplaTAM/scripts/splatam.py#23,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",20396,20396,18674,18674,0,0.0,False,0.0,False,,    seed_everything(seed=experiment.config['seed']),0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=30.99GiB budget=8.00GiB seq_len=20396,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,aliyun/pai-python-sdk,pai/model.py,aliyun/pai-python-sdk/pai/model.py#24,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",14203,14203,13061,13061,0,0.0,False,0.0,False,,"        session: Session = None,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=15.03GiB budget=8.00GiB seq_len=14203,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,MTgeophysics/mtpy-v2,tests/core/test_mt_collection.py,MTgeophysics/mtpy-v2/tests/core/test_mt_collection.py#25,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",22556,22556,21248,21248,0,0.0,False,0.0,False,,            original = MT(tf_fn),0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=37.91GiB budget=8.00GiB seq_len=22556,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,AIFSH/NativeSpeaker,src/core.py,AIFSH/NativeSpeaker/src/core.py#26,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",9920,2142,9371,1593,49,0.7841,False,0.0417,False,</think>,        audio_process = AudioProcess(15),9.69,ok,,,7.332
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,acolas1/KGSimple,simplify_batched.py,acolas1/KGSimple/simplify_batched.py#27,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",21770,21770,21219,21219,0,0.0,False,0.0,False,,"        scores.append({""name"": ""fluency"", ""model"": FluencyScorer(1, log=False, laplace_smooth=True, prob_dict_path=args.prob_dict_path), ""sign"": 1, ""weight"": 1.0})",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=35.31GiB budget=8.00GiB seq_len=21770,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,shercoo/RGDiffSR,ldm/models/diffusion/ddpm.py,shercoo/RGDiffSR/ldm/models/diffusion/ddpm.py#28,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",11682,11682,10139,10139,0,0.0,False,0.0,False,,            elif isimage(xc):,0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=10.17GiB budget=8.00GiB seq_len=11682,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,asdfghjil/XMUCourseCheckin,checkin.py,asdfghjil/XMUCourseCheckin/checkin.py#29,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",1476,1063,497,84,45,0.2798,False,0.7097,False,"for lesson in getCheckinList(userInfo, today=True):","    lesson = printCheckinList(session, http_header, userInfo, today=True)",3.79,ok,,,0.162
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,KAIST-AILab/palr,train.py,KAIST-AILab/palr/train.py#30,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",17961,17961,16860,16860,0,0.0,False,0.0,False,,        trainer = PALR(,0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=24.04GiB budget=8.00GiB seq_len=17961,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,acolas1/KGSimple,simplify.py,acolas1/KGSimple/simplify.py#31,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",19475,19475,19089,19089,0,0.0,False,0.0,False,,"        model = GAP_Type_model.from_pretrained(checkpoint,t_emb_dim=t_emb_dim)",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=28.26GiB budget=8.00GiB seq_len=19475,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,kakaobrain/cxr-clip,cxrclip/data/datasets/imagetext.py,kakaobrain/cxr-clip/cxrclip/data/datasets/imagetext.py#32,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",1874,1249,753,128,44,0.3335,False,0.2892,False,"elif hasattr(self.df, ""text_label""):",            text = generate_report_from_labels(,3.92,ok,,,0.262
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,shell-nlp/gpt_server,gpt_server/serving/main.py,shell-nlp/gpt_server/gpt_server/serving/main.py#33,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",1009,696,377,64,51,0.3102,False,0.4756,False,"cmd += f"" --model_name_or_path {model_name_or_path} --model_type {model_type} --port {get_free_tcp_port()}""","                + f"" --master_port {get_free_tcp_port()}""",3.56,ok,,,0.076
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,cyberark/ark-sdk-python,tests/unit/auth/test_ark_isp_auth.py,cyberark/ark-sdk-python/tests/unit/auth/test_ark_isp_auth.py#34,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",2667,720,2345,398,41,0.73,False,0.1389,False,# Arrange mocks for ArkIdentity,"        session_mock.return_value.post.side_effect = [START_AUTH_SUCCESS_RESPONSE, ADVANCE_AUTH_SUCCESS_RESPONSE]",4.26,ok,,,0.53
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,owkin/fedeca,fedeca/tests/strategies/test_webdisco.py,owkin/fedeca/fedeca/tests/strategies/test_webdisco.py#35,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",20123,20123,18839,18839,0,0.0,False,0.0,False,,"        cls.model = CoxPHModelTorch(ndim=ndim, torch_dtype=torch_dtype)",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=30.17GiB budget=8.00GiB seq_len=20123,0.0
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,ej52/hass-ollama-conversation,custom_components/ollama_conversation/config_flow.py,ej52/hass-ollama-conversation/custom_components/ollama_conversation/config_flow.py#36,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",2002,752,1506,256,53,0.6244,False,0.9011,False,"CONF_PROMPT_SYSTEM: DEFAULT_PROMPT_SYSTEM,",        CONF_PROMPT_SYSTEM: DEFAULT_PROMPT_SYSTEM,3.85,ok,,,0.299
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Graph-and-Geometric-Learning/D4Explainer,main.py,Graph-and-Geometric-Learning/D4Explainer/main.py#37,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",1230,707,630,107,47,0.4252,False,0.2319,False,"print(f""Running on {args.device}"")",args.task = task_type[args.dataset],3.56,ok,,,0.113
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,RoboFlamingo/RoboFlamingo,robot_flamingo/data/data.py,RoboFlamingo/RoboFlamingo/robot_flamingo/data/data.py#38,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",6953,2275,5635,957,37,0.6728,False,0.0889,False,</think>,    calvin_dataset = RealDatasetHDF5(,8.21,ok,,,3.602
deepseek-14b,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,Czm369/MixPL,mmdet/configs/rtmdet/rtmdet_ins_l_8xb32_300e_coco.py,Czm369/MixPL/mmdet/configs/rtmdet/rtmdet_ins_l_8xb32_300e_coco.py#39,6x,46,"[34, 25, 32, 20, 28, 5, 21, 33]",23194,23194,22356,22356,0,0.0,False,0.0,False,,"    dict(type=YOLOXHSVRandomAug),",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=40.08GiB budget=8.00GiB seq_len=23194,0.0
