model_key,model_hf_id,repo_name,file_path,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,edit_sim,prefix_match,prediction,gold_next_line,elapsed_s,status,error_type,error_message,attention_estimated_gb
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,falesiani/torch_ga,torch_ga/torch_ga.py,falesiani/torch_ga/torch_ga/torch_ga.py#0,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",6228,1421,5791,984,52,0.7718,False,0.2759,False,"self._t_geom = torch.zeros((self._num_blades, self._num_blades, self._num_blades), dtype=torch.int32)","        _list = get_cayley_tensor(self.metric, self._bases, self._blades)",3.15,ok,,,2.312
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,nttcom/WASB-SBDT,src/losses/heatmap.py,nttcom/WASB-SBDT/src/losses/heatmap.py#1,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",3058,655,2895,492,51,0.7858,False,0.4681,False,"self._loss = BCELoss(auto_weight=True, scales=cfg['scales'])",            self._loss = BCELoss(),1.88,ok,,,0.557
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,giulio98/functional-diffusion-processes,src/functional_diffusion_processes/losses/mse_loss.py,giulio98/functional-diffusion-processes/src/functional_diffusion_processes/losses/mse_loss.py#2,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",8113,1656,7779,1322,38,0.7959,False,0.3392,False,"def compute_loss(self, y_corrupted: jnp.ndarray, y_reconstructed: jnp.ndarray) -> jnp.ndarray:","    def construct_loss_fn(self, model: Union[BaseMAML, BaseViT]) -> Callable:",3.21,ok,,,3.923
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,Elfenreigen/UniChest,train.py,Elfenreigen/UniChest/train.py#3,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",15827,15827,14445,14445,0,0.0,False,0.0,False,,"    optimizer = create_optimizer(arg_opt, model_without_ddp,image_encoder_without_ddp,text_encoder_without_ddp)",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=14.93GiB budget=8.00GiB seq_len=15827,0.0
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,kinggongzilla/ai-clone-whatsapp,utils/config_utils.py,kinggongzilla/ai-clone-whatsapp/utils/config_utils.py#4,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",1751,850,1085,184,34,0.5146,False,0.5714,False,"kwargs[""batch_sampler""] = LengthBasedBatchSampler(","                kwargs[""batch_sampler""] = LengthBasedBatchSampler(dataset, batch_size, drop_last=True, shuffle=mode==""train"")",1.78,ok,,,0.183
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,Eclectic-Sheep/sheeprlhf,sheeprlhf/task/train/ppo.py,Eclectic-Sheep/sheeprlhf/sheeprlhf/task/train/ppo.py#5,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",9591,2737,8257,1403,43,0.7146,False,0.1143,False,# Path: sheeprlhf/utils/ppo.py,                    v_loss = value_loss(,4.02,ok,,,5.483
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,UMass-Foundation-Model/CoVLM,transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py,UMass-Foundation-Model/CoVLM/transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py#6,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",33987,33987,32704,32704,0,0.0,False,0.0,False,,"        output_type=SequenceClassifierOutputWithPast,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=68.85GiB budget=8.00GiB seq_len=33987,0.0
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,nexB/dejacode,workflow/models.py,nexB/dejacode/workflow/models.py#7,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",6279,1892,5285,898,42,0.6987,False,0.6667,False,return model_class.unsecured_objects.filter(id=self.id).update(request_count=true_count),            get_unsecured_manager(model_class).filter(pk=self.pk).update(request_count=true_count),2.78,ok,,,2.35
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,KoeAI/LLVC,minimal_rvc/model.py,KoeAI/LLVC/minimal_rvc/model.py#8,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",7027,1824,6268,1065,51,0.7404,False,0.7778,False,self.model = SynthesizerTrnMs256NSFSid(,            self.net_g = SynthesizerTrnMs256NSFSid(,2.97,ok,,,2.943
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,oracle/guardian-ai,tests/unitary/test_fairness_metrics.py,oracle/guardian-ai/tests/unitary/test_fairness_metrics.py#9,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",16471,16471,15894,15894,0,0.0,False,0.0,False,,"    ""false_positive_rate_scorer"": false_positive_rate,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=16.17GiB budget=8.00GiB seq_len=16471,0.0
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,chinhsuanwu/ifusion,ldm/models/diffusion/ddpm.py,chinhsuanwu/ifusion/ldm/models/diffusion/ddpm.py#10,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",9309,2337,8400,1428,44,0.749,False,0.3019,False,"self.model = DiffusionWrapper(unet_config, conditioning_key)","        count_params(self.model, verbose=True)",3.78,ok,,,5.165
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,RobertCsordas/moe_attention,dataset/text/chunked_setencepiece_lm_dataset.py,RobertCsordas/moe_attention/dataset/text/chunked_setencepiece_lm_dataset.py#11,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",2959,1550,1697,288,51,0.4762,False,0.396,False,"def tokenize_chunk(self, i: int) -> None:",    def start_test(self) -> WordLevelLanguageModelTestState:,2.01,ok,,,0.522
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,colour-science/colour-visuals,utilities/generate_plots.py,colour-science/colour-visuals/utilities/generate_plots.py#12,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",23124,23124,22208,22208,0,0.0,False,0.0,False,,"        (VisualPointerGamut2D, {}, None),",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=31.87GiB budget=8.00GiB seq_len=23124,0.0
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,rohitsinghlab/sceodesic,sceodesic/sceo_main/run_sceo.py,rohitsinghlab/sceodesic/sceodesic/sceo_main/run_sceo.py#13,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",2723,1584,1372,233,41,0.4183,False,0.1538,False,# Path: sce.py,"    data_embedding, modules = order_by_second_moment(data_embedding, modules)",2.07,ok,,,0.442
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,StackTipsLab/bloggy,bloggy/models/post.py,StackTipsLab/bloggy/bloggy/models/post.py#14,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",3562,1029,3051,518,39,0.7111,False,0.4167,False,class Post(models.Model):,    category = models.ManyToManyField(Category),2.03,ok,,,0.756
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,TheCompAce/ShellSpeak,main.py,TheCompAce/ShellSpeak/main.py#15,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",10299,2274,9668,1643,33,0.7792,False,0.6667,False,setup_menu(),            setup_menu(),4.12,ok,,,6.322
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,modelscope/normal-depth-diffusion,libs/omnidata_torch/lib/zoe/zoedepth/models/zoedepth/zoedepth_v1.py,modelscope/normal-depth-diffusion/libs/omnidata_torch/lib/zoe/zoedepth/models/zoedepth/zoedepth_v1.py#16,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",8016,2684,6423,1091,50,0.6652,False,0.8113,False,self.log_binomial = ConditionalLogBinomial(,        self.conditional_log_binomial = ConditionalLogBinomial(,3.16,ok,,,3.83
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,upfusion3d/upfusion,control_net/cldm/cldm_dfslt.py,upfusion3d/upfusion/control_net/cldm/cldm_dfslt.py#17,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",22241,22241,20991,20991,0,0.0,False,0.0,False,,                TimestepEmbedSequential(,0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=29.48GiB budget=8.00GiB seq_len=22241,0.0
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,liuqidong07/MOELoRA-peft,src/MLoRA/peft/tuners/prompt_tuning.py,liuqidong07/MOELoRA-peft/src/MLoRA/peft/tuners/prompt_tuning.py#18,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",924,594,397,67,44,0.3571,False,0.3434,False,if self.prompt_tuning_init == PromptTuningInit.TEXT:,        self.peft_type = PeftType.PROMPT_TUNING,1.68,ok,,,0.051
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,KieDani/Towards_3D_Object_Localization,general/train.py,KieDani/Towards_3D_Object_Localization/general/train.py#19,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",6155,3406,3312,563,71,0.4466,False,0.5088,False,"create_heatmaps(joint, output_size=(480, 480), sigma=8)","        heatmap = create_heatmaps(joint, (H, W)).squeeze(0)",3.09,ok,,,2.258
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,facebookresearch/chat2map-official,main.py,facebookresearch/chat2map-official/main.py#20,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",3656,933,3280,557,47,0.7448,False,0.1208,False,"# config = get_config(args.exp_config, args.opts, args.model_dir, args.run_type)",    trainer_init = baseline_registry.get_trainer(config.TRAINER_NAME),1.99,ok,,,0.797
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,nexB/dejacode,product_portfolio/admin.py,nexB/dejacode/product_portfolio/admin.py#21,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",26618,26618,25231,25231,0,0.0,False,0.0,False,,    mass_update_form = ProductMassUpdateForm,0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=42.23GiB budget=8.00GiB seq_len=26618,0.0
llama3.1-8b,meta-llama/Llama-3.1-8B-Instruct,BobaZooba/xllm,src/xllm/experiments/base.py,BobaZooba/xllm/src/xllm/experiments/base.py#22,6x,13,"[18, 11, 21, 8, 16, 13, 1, 4]",22792,22792,21515,21515,0,0.0,False,0.0,False,,            self.tokenizer = self.build_tokenizer(),0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=30.96GiB budget=8.00GiB seq_len=22792,0.0
