model_key,model_hf_id,task,example_id,ratio_name,compressor_model,original_input_tokens,compressed_input_tokens,output_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,compression_meta
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,NousResearch/Llama-2-7b-hf,5033,1320,29,0.7377,True,0.3529,"Pope John X gave the mother of Alberic II of Spoleto, Marozia, the title ""patricia"" of Rome.",Pope John X,13.21,ok,,,"{""kwargs"": {""question"": ""Who gave the mother of Alberic II of Spoleto the title \""patricia\"" of Rome?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 4994, ""compressed_tokens"": 1293, ""ratio"": ""3.9x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 21, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,NousResearch/Llama-2-7b-hf,2196,623,74,0.7163,True,0.0526,"Both Pueraria and Pleiospilos are flowering plants. However, the information provided in the passages focuses more on the characteristics and species of Pleiospilos, which is a genus of succulent flowering plants native to South Africa. Pueraria is mentioned as a genus of plants, but specific details about its flowering characteristics are not provided in the given passages.",Pleiospilos,15.13,ok,,,"{""kwargs"": {""question"": ""Which is a flowering plant, Pueraria or Pleiospilos?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 2201, ""compressed_tokens"": 604, ""ratio"": ""3.6x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 12, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,NousResearch/Llama-2-7b-hf,6257,1434,3,0.7708,True,0.6667,"Louisville, Kentucky",Louisville,3.83,ok,,,"{""kwargs"": {""question"": ""Broadbent Arena and Freedom Hall are landmarks of which U.S. city?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 5853, ""compressed_tokens"": 1343, ""ratio"": ""4.4x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 32, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,NousResearch/Llama-2-7b-hf,5473,1103,41,0.7985,True,0.125,"Yes, both the Tundra Mine and Negus Mine were located in Canada. The Tundra Mine was in the Northwest Territories, and the Negus Mine was in Yellowknife, Northwest Territories.",yes,13.65,ok,,,"{""kwargs"": {""question"": ""Were the Tundra Mine and Negus Mine located in the same country?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 5072, ""compressed_tokens"": 984, ""ratio"": ""5.2x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 19, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,NousResearch/Llama-2-7b-hf,6603,1392,28,0.7892,True,0.1333,"No, Kaiping is located in Guangdong Province, while Pingxiang, Guangxi is located in the Guangxi Zhuang Autonomous Region.",no,12.14,ok,,,"{""kwargs"": {""question"": ""Are both Kaiping and Pingxiang, Guangxi located in Guandong Province?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 6434, ""compressed_tokens"": 1323, ""ratio"": ""4.9x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 33, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,NousResearch/Llama-2-7b-hf,3566,902,32,0.7471,True,0.1818,"The Atlantic Ocean. The passage mentions that the soup is made with Atlantic blue crab meat, which indicates that the ingredients would likely come from the Atlantic Ocean.",Atlantic Ocean,9.88,ok,,,"{""kwargs"": {""question"": ""Which ocean would the ingredients likely come from for the She-crab soup?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 3441, ""compressed_tokens"": 862, ""ratio"": ""4.0x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 23, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,NousResearch/Llama-2-7b-hf,3296,860,6,0.7391,False,0.5714,Band-e-Amir National Park,Band-e Amir National Park,2.62,ok,,,"{""kwargs"": {""question"": ""Band-e-Amir Dragons is named after the lakes in which Afghan national park?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 3078, ""compressed_tokens"": 778, ""ratio"": ""4.0x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 11, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,NousResearch/Llama-2-7b-hf,5382,1374,2,0.7447,False,0.5,Fire Island,Long Island,2.83,ok,,,"{""kwargs"": {""question"": ""Oak Beach, New York and Great South Bay are both situated between what same island?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 5085, ""compressed_tokens"": 1277, ""ratio"": ""4.0x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 24, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,NousResearch/Llama-2-7b-hf,3562,970,79,0.7277,False,0.0,"The passage does not explicitly state that the waterfowl at Hardley Flood are a medium-sized version of any specific animal. However, it mentions that the reedbeds provide nesting sites for birds, including nationally important populations of several breeding birds. This suggests that the waterfowl in question are birds, but it does not specify a particular type of bird or compare them to any other animal.",,22.66,ok,,,"{""kwargs"": {""question"": ""Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 3454, ""compressed_tokens"": 916, ""ratio"": ""3.8x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 21, ""used_merged_context"": false}"
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,NousResearch/Llama-2-7b-hf,5185,1289,3,0.7514,False,0.5714,Umina Beach,"Umina Beach, New South Wales",3.39,ok,,,"{""kwargs"": {""question"": ""What is the name of this suburb within the Central Coast Council local government area, where Tessa, of Microwave Jenny, grew up?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 4940, ""compressed_tokens"": 1195, ""ratio"": ""4.1x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 32, ""used_merged_context"": false}"
