model_key,model_hf_id,task,example_id,ratio_name,compressor_model,original_input_tokens,compressed_input_tokens,output_tokens,input_token_reduction,exact_match,f1,prediction,best_answer,elapsed_s,status,error_type,error_message,compression_meta
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,670498f9d7fd2582c5791cad2fe212f580d316fa49a8a984,4x,NousResearch/Llama-2-7b-hf,5202,1346,24,0.7413,True,0.375,"Pope John X gave the mother of Alberic II of Spoleto the title ""patricia"" of Rome.",Pope John X,12.67,ok,,,"{""kwargs"": {""question"": ""Who gave the mother of Alberic II of Spoleto the title \""patricia\"" of Rome?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 4994, ""compressed_tokens"": 1293, ""ratio"": ""3.9x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 21, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,3dd1ade26fd583844dd2af051d61eb20856ccc8e23abae59,4x,NousResearch/Llama-2-7b-hf,2240,628,9,0.7196,True,0.3333,Pleiospilos is a flowering plant.,Pleiospilos,5.92,ok,,,"{""kwargs"": {""question"": ""Which is a flowering plant, Pueraria or Pleiospilos?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 2201, ""compressed_tokens"": 604, ""ratio"": ""3.6x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 12, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,90caafc7fe51eee4143874971f67bb3e0107d26179c437f7,4x,NousResearch/Llama-2-7b-hf,6222,1434,4,0.7695,True,0.6667,"Louisville, Kentucky.",Louisville,13.03,ok,,,"{""kwargs"": {""question"": ""Broadbent Arena and Freedom Hall are landmarks of which U.S. city?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 5853, ""compressed_tokens"": 1343, ""ratio"": ""4.4x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 32, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,de85aaa5c535ba20bdcad5fbabfe13a03687374265a57b44,4x,NousResearch/Llama-2-7b-hf,5415,1088,18,0.7991,False,0.0,"No, the Tundra Mine and Negus Mine were not located in the same country.",,9.85,ok,,,"{""kwargs"": {""question"": ""Were the Tundra Mine and Negus Mine located in the same country?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 5072, ""compressed_tokens"": 984, ""ratio"": ""5.2x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 19, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,5da42038bb9d29bb30e4094504ad06dc2d43afa373568686,4x,NousResearch/Llama-2-7b-hf,6544,1376,29,0.7897,True,0.1333,"No, Kaiping is located in Guangdong Province, while Pingxiang, Guangxi is located in the Guangxi Zhuang Autonomous Region.",no,12.61,ok,,,"{""kwargs"": {""question"": ""Are both Kaiping and Pingxiang, Guangxi located in Guandong Province?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 6434, ""compressed_tokens"": 1323, ""ratio"": ""4.9x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 33, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,c9f8b2166f7c44bf2e0843b2c77fb9fa5738af275555ca73,4x,NousResearch/Llama-2-7b-hf,3497,889,27,0.7458,True,0.1905,"The ingredients for She-crab soup would likely come from the Atlantic Ocean, as the recipe specifies the use of Atlantic blue crab meat.",Atlantic Ocean,8.42,ok,,,"{""kwargs"": {""question"": ""Which ocean would the ingredients likely come from for the She-crab soup?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 3441, ""compressed_tokens"": 862, ""ratio"": ""4.0x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 23, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,b6352c61b4a748448ce38882861cd5ae5f7f2869a81e92a1,4x,NousResearch/Llama-2-7b-hf,3326,873,21,0.7375,False,0.2667,Band-e-Amir Dragons is named after the lakes in the Band-e-Amir National Park in Afghanistan.,Band-e Amir National Park,7.63,ok,,,"{""kwargs"": {""question"": ""Band-e-Amir Dragons is named after the lakes in which Afghan national park?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 3078, ""compressed_tokens"": 778, ""ratio"": ""4.0x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 11, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,3a75aba6bc2496016339474aef28ffdc9dbebdc00ccc166b,4x,NousResearch/Llama-2-7b-hf,5330,1352,16,0.7463,False,0.125,"Oak Beach, New York and Great South Bay are both situated between Fire Island.",Long Island,11.22,ok,,,"{""kwargs"": {""question"": ""Oak Beach, New York and Great South Bay are both situated between what same island?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 5085, ""compressed_tokens"": 1277, ""ratio"": ""4.0x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 24, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,1fd7df3ba224e985f87e976c7a4a67ddc1012a249a542bea,4x,NousResearch/Llama-2-7b-hf,3560,973,80,0.7267,True,0.0,"Hardley Flood supports populations of waterfowl, which are a medium-sized version of geese, swans, and ducks. These waterfowl species are known to rest and refuel during their migratory journeys and some may stay during the summer. Given the context of the Site of Special Scientific Interest and the presence of reedbeds, it is likely that Hardley Flood supports a variety",,8.81,ok,,,"{""kwargs"": {""question"": ""Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 3454, ""compressed_tokens"": 916, ""ratio"": ""3.8x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 21, ""used_merged_context"": false}"
qwen25-7b,Qwen/Qwen2.5-7B-Instruct,hotpotqa,d7d92c85b8becc33e60fc03507933f8eaf53b5e1067286de,4x,NousResearch/Llama-2-7b-hf,5143,1282,7,0.7507,True,1.0,"Umina Beach, New South Wales","Umina Beach, New South Wales",11.35,ok,,,"{""kwargs"": {""question"": ""What is the name of this suburb within the Central Coast Council local government area, where Tessa, of Microwave Jenny, grew up?"", ""condition_in_question"": ""after_condition"", ""reorder_context"": ""sort"", ""dynamic_context_compression_ratio"": 0.3, ""condition_compare"": true, ""context_budget"": ""+100"", ""rank_method"": ""longllmlingua"", ""rate"": 0.25}, ""origin_tokens"": 4940, ""compressed_tokens"": 1195, ""ratio"": ""4.1x"", ""attempt_label"": ""primary_split_docs"", ""input_doc_count"": 32, ""used_merged_context"": false}"
