model_key,model_hf_id,repo_name,file_path,example_id,setting_name,evaluator_layer,evaluator_heads,original_input_tokens,compressed_input_tokens,original_context_tokens,compressed_context_tokens,observation_window_tokens,input_token_reduction,exact_match,edit_sim,prefix_match,prediction,gold_next_line,elapsed_s,status,error_type,error_message,attention_estimated_gb
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,falesiani/torch_ga,torch_ga/torch_ga.py,falesiani/torch_ga/torch_ga/torch_ga.py#0,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",6609,1520,6131,1042,62,0.77,False,0.6667,False,"self._cayley, self._cayley_inner, self._cayley_outer = get_cayley_tensor(self._metric, self._bases, self._blades)","        _list = get_cayley_tensor(self.metric, self._bases, self._blades)",8.18,ok,,,2.603
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,nttcom/WASB-SBDT,src/losses/heatmap.py,nttcom/WASB-SBDT/src/losses/heatmap.py#1,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",3200,683,3032,515,53,0.7866,False,0.3651,False,"# self._loss = BCELoss(auto_weight=cfg['loss']['auto_weight'], scales=cfg['loss']['scales'])",            self._loss = BCELoss(),4.53,ok,,,0.61
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,giulio98/functional-diffusion-processes,src/functional_diffusion_processes/losses/mse_loss.py,giulio98/functional-diffusion-processes/src/functional_diffusion_processes/losses/mse_loss.py#2,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",8516,1734,8170,1388,40,0.7964,False,0.173,False,"# The MSELoss class is designed to compute the Mean Squared Error (MSE) loss between model predictions and real data, with potential modifications for different domains (frequency or normal) and scheduling. It provides a structure for constructing a loss function that can be used in various machine learning models,","    def construct_loss_fn(self, model: Union[BaseMAML, BaseViT]) -> Callable:",7.56,ok,,,4.323
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,Elfenreigen/UniChest,train.py,Elfenreigen/UniChest/train.py#3,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",17281,17281,15701,15701,0,0.0,False,0.0,False,,"    optimizer = create_optimizer(arg_opt, model_without_ddp,image_encoder_without_ddp,text_encoder_without_ddp)",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=17.80GiB budget=8.00GiB seq_len=17281,0.0
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,kinggongzilla/ai-clone-whatsapp,utils/config_utils.py,kinggongzilla/ai-clone-whatsapp/utils/config_utils.py#4,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",1883,911,1170,198,36,0.5162,False,0.1169,False,# Path: utils/config_utils.py,"                kwargs[""batch_sampler""] = LengthBasedBatchSampler(dataset, batch_size, drop_last=True, shuffle=mode==""train"")",4.21,ok,,,0.211
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,Eclectic-Sheep/sheeprlhf,sheeprlhf/task/train/ppo.py,Eclectic-Sheep/sheeprlhf/sheeprlhf/task/train/ppo.py#5,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",10313,10313,8811,8811,0,0.0,False,0.0,False,,                    v_loss = value_loss(,0.0,error,OutOfMemoryError,"CUDA out of memory. Tried to allocate 12.68 GiB. GPU 0 has a total capacity of 79.25 GiB of which 2.36 GiB is free. Process 1 has 76.88 GiB memory in use. Of the allocated memory 63.71 GiB is allocated by PyTorch, and 12.67 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",0.0
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,UMass-Foundation-Model/CoVLM,transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py,UMass-Foundation-Model/CoVLM/transformers/src/transformers/models/gpt_neox/modeling_gpt_neox.py#6,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",36122,36122,34766,34766,0,0.0,False,0.0,False,,"        output_type=SequenceClassifierOutputWithPast,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=77.77GiB budget=8.00GiB seq_len=36122,0.0
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,nexB/dejacode,workflow/models.py,nexB/dejacode/workflow/models.py#7,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",6638,2004,5582,948,44,0.6981,False,0.1774,False,# Path: workflow/models.py,            get_unsecured_manager(model_class).filter(pk=self.pk).update(request_count=true_count),6.37,ok,,,2.626
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,KoeAI/LLVC,minimal_rvc/model.py,KoeAI/LLVC/minimal_rvc/model.py#8,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",7576,1957,6769,1150,53,0.7417,False,0.2839,False,# The next line should define the `self.model` attribute based on the `state_dict` and the `model_name`.,            self.net_g = SynthesizerTrnMs256NSFSid(,6.91,ok,,,3.421
mistral-24b,mistralai/Mistral-Small-24B-Instruct-2501,oracle/guardian-ai,tests/unitary/test_fairness_metrics.py,oracle/guardian-ai/tests/unitary/test_fairness_metrics.py#9,6x,30,"[27, 5, 30, 26, 17, 31, 29, 7]",17103,17103,16486,16486,0,0.0,False,0.0,False,,"    ""false_positive_rate_scorer"": false_positive_rate,",0.0,error,RuntimeError,EHPC attention capture budget exceeded: estimated=17.44GiB budget=8.00GiB seq_len=17103,0.0
